brand,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_storage_capacity,total_pixels,ppi
lenovo,74990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,13.3,1920,1200,windows,3.0,512,2304000,170.23725351079585
asus,64990,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
asus,89000,75,intel,core i7,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
lenovo,64990,72,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1.0,512,2304000,161.72539083525606
hp,43400,57,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,40590,57,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,70000,70,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,141989,82,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0,1024,4096000,188.67962264113208
lg,98999,67,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1200,1920,windows,1.0,512,2304000,161.72539083525606
dell,299990,89,amd,ryzen 9,12,24,32,SSD,2048,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,2048,2304000,141.50971698084905
acer,129990,80,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
lenovo,65990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1.0,512,2304000,161.72539083525606
acer,75499,59,intel,core i7,10,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,25990,44,intel,celeron,4,4,4,HDD,64,No secondary storage,0,intel,integrated,True,14.0,1366,768,chrome,1.0,64,1049088,111.93520355955211
asus,76600,72,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,126800,69,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,1024,2304000,141.50971698084905
fujitsu,99990,73,intel,core i7,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,2.0,512,2304000,161.72539083525606
